Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Years of management experience,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
672a882e847c94b8a457c562,640465b16f641b9089692c5c,AWAITING REVIEW,Not Applicable,2024-11-05T21:03:50.042000Z,2024-11-05T21:27:31.197000Z,,2024-11-05T21:28:06.330823Z,1422.0,C1O6KV7K,624,5+ years,38,Male,White,Australia,Australia,Australia,English,Yes,Full-Time
672a885df2a976ccf9147df9,6658e797b169774877e72acb,AWAITING REVIEW,Not Applicable,2024-11-05T21:04:38.810000Z,2024-11-05T21:30:08.415000Z,,2024-11-05T21:30:34.379525Z,1530.0,C1O6KV7K,380,5+ years,33,Female,Asian,India,United Kingdom,India,English,No,Full-Time
672a8878fc6fef055dabb52b,602a92432b8e88094f75598b,RETURNED,Not Applicable,2024-11-05T21:05:00.150000Z,,,2024-11-06T15:33:44.892023Z,,,910,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
672a8896584c18da49d186dc,615ecf9bbbde0569cbf6fe21,AWAITING REVIEW,Not Applicable,2024-11-05T21:05:32.037000Z,2024-11-05T21:23:25.479000Z,,2024-11-05T21:23:42.232769Z,1074.0,C1O6KV7K,1188,5+ years,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
672a88aaaf862a084afa17ff,61711d5d5eeb6ccab6055d94,RETURNED,Not Applicable,2024-11-05T21:05:52.407000Z,,,2024-11-06T15:33:44.901128Z,,,345,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
672a88ea0ac2a530ca306fd7,59e6585c2f63d30001c8f9b2,AWAITING REVIEW,Not Applicable,2024-11-05T21:06:58.402000Z,2024-11-05T21:26:22.827000Z,,2024-11-05T21:26:30.421695Z,1165.0,C1O6KV7K,964,5+ years,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
672a8940714c99f1812e7f02,5e37453bf269746d9e616f34,AWAITING REVIEW,Not Applicable,2024-11-05T21:14:54.707000Z,2024-11-05T21:54:38.928000Z,,2024-11-05T21:54:39.596461Z,2385.0,C1O6KV7K,1065,5+ years,49,Female,Asian,Sri Lanka,United Kingdom,United Kingdom,English,No,Full-Time
672a8a181b92355ff786c5fd,5f00fa2353b5c10c934298fa,AWAITING REVIEW,Not Applicable,2024-11-05T21:11:57.254000Z,2024-11-05T21:34:32.117000Z,,2024-11-05T21:35:38.275493Z,1355.0,C1O6KV7K,1425,5+ years,35,Female,White,United Kingdom,France,United Kingdom,English,No,Full-Time
672a8a198cb8a2d60e3fdbed,650afde55e0cddeae331e40a,AWAITING REVIEW,Not Applicable,2024-11-05T21:12:03.609000Z,2024-11-05T21:42:41.585000Z,,2024-11-05T21:46:48.658634Z,1838.0,C1O6KV7K,498,2 - 3 years,40,Female,Black,Kenya,Canada,Canada,English,Yes,Part-Time
672a8a69622e9e438c0bc18e,5cc30b098ad9bf0001a3e445,AWAITING REVIEW,Not Applicable,2024-11-05T21:13:19.916000Z,2024-11-05T21:27:16.137000Z,,2024-11-05T21:28:03.458388Z,837.0,C1O6KV7K,612,5+ years,37,Female,White,Canada,Canada,Canada,English,No,Full-Time
672a8ae38419b346433a4da6,5e92178e8ee4fe54b65b7c39,AWAITING REVIEW,Not Applicable,2024-11-05T21:18:17.399000Z,2024-11-05T21:42:44.045000Z,,2024-11-05T21:46:40.751199Z,1467.0,C1O6KV7K,2113,2 - 3 years,30,Male,Mixed,Canada,Spain,United States,English,No,Full-Time
672a8b01f1d026048c5887b6,631123376033bb148edc0ebb,AWAITING REVIEW,Not Applicable,2024-11-05T21:15:54.400000Z,2024-11-05T21:46:04.910000Z,,2024-11-05T21:48:28.143317Z,1811.0,C1O6KV7K,1194,5+ years,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
672a8b17eee8f09c3886beca,56f7560f3bd969000c1708de,RETURNED,Not Applicable,2024-11-05T21:26:24.441000Z,,,2024-11-06T15:33:44.902173Z,,,1366,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
672a8b4acc621db74f307f5b,5c41e9263be7b70001fcf4ab,AWAITING REVIEW,Not Applicable,2024-11-05T21:16:58.351000Z,2024-11-05T22:18:32.864000Z,,2024-11-05T22:18:57.835266Z,3695.0,C1O6KV7K,1760,5+ years,46,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
